NCM;Categoria;Descricao;InicioVigencia;FimVigencia;UTrib;DescricaoUTrib;Observacao
01012100;"ANIMAIS VIVOS";01012100 - CAVALOS REPRODUTORES DE RAÇA PURA;01/01/2016;;UN;UNIDADE;
01012900;"ANIMAIS VIVOS";01012900 - OUTROS CAVALOS VIVOS;01/01/2016;;UN;UNIDADE;
01013000;"ANIMAIS VIVOS";01013000 - ASININOS VIVOS;01/01/2016;;UN;UNIDADE;
01019000;"ANIMAIS VIVOS";01019000 - OUTROS MUARES VIVOS;01/01/2016;;UN;UNIDADE;
01022110;"ANIMAIS VIVOS";01022110 - BOVINOS DOMÉST.REPROD.D/RAÇA PURA,PRENHES OU C/CRIA AO;01/01/2016;;UN;UNIDADE;
01022190;"ANIMAIS VIVOS";01022190 - OUTROS BOVINOS REPRODUTORES DE RAÇA PURA;01/01/2016;;UN;UNIDADE;
01022911;"ANIMAIS VIVOS";01022911 - OUTROS BOVINOS P/REPRODUÇÃO, PRENHES OU C/CRIA AO PÉ;01/01/2016;;UN;UNIDADE;
01022919;"ANIMAIS VIVOS";01022919 - OUTROS BOVINOS DOMÉSTICOS PARA REPRODUÇÃO;01/01/2016;;UN;UNIDADE;
01022990;"ANIMAIS VIVOS";01022990 - OUTROS BOVINOS DOMÉSTICOS VIVOS;01/01/2016;;UN;UNIDADE;
01023110;"ANIMAIS VIVOS";01023110 - BÚFALOS REPROD.DE RAÇA PURA, PRENHES OU C/CRIA AO PÉ;01/01/2016;;UN;UNIDADE;
01023190;"ANIMAIS VIVOS";01023190 - OUTROS BÚFALOS REPRODUTORES DE RAÇA PURA;01/01/2016;;UN;UNIDADE;
01023911;"ANIMAIS VIVOS";01023911 - OUTROS BÚFALOS P/REPRODUÇÃO, PRENHES OU C/CRIA AO PÉ;01/01/2016;;UN;UNIDADE;
01023919;"ANIMAIS VIVOS";01023919 - OUTROS BÚFALOS PARA REPRODUÇÃO;01/01/2016;;UN;UNIDADE;
01023990;"ANIMAIS VIVOS";01023990 - OUTROS BÚFALOS VIVOS;01/01/2016;;UN;UNIDADE;
01029000;"ANIMAIS VIVOS";01029000 - OUTROS ANIMAIS VIVOS DA ESPÉCIE BOVINA;01/01/2016;;UN;UNIDADE;
01031000;"ANIMAIS VIVOS";01031000 - REPRODUTORES DA ESPÉCIE SUÍNA DE RAÇA PURA;01/01/2016;;UN;UNIDADE;
01039100;"ANIMAIS VIVOS";01039100 - OUTROS SUÍNOS REPROD.PESO INFERIOR 50 KG;01/01/2016;;UN;UNIDADE;
01039200;"ANIMAIS VIVOS";01039200 - OUTS.SUÍNOS REPROD.PESO IGUAL OU SUP 50 KG;01/01/2016;;UN;UNIDADE;
01041011;"ANIMAIS VIVOS";01041011 - OVINOS REP.RAÇA PURA,PRENHE OU C/CRIA AO PÉ;01/01/2016;;UN;UNIDADE;
01041019;"ANIMAIS VIVOS";01041019 - OUTROS OVINOS REPRODUTORES DE RAÇA PURA;01/01/2016;;UN;UNIDADE;
01041090;"ANIMAIS VIVOS";01041090 - OUTROS ANIMAIS DA ESPÉCIES OVINAS;01/01/2016;;UN;UNIDADE;
01042010;"ANIMAIS VIVOS";01042010 - CAPRINOS REPRODUTORES DE RAÇA PURA;01/01/2016;;UN;UNIDADE;
01042090;"ANIMAIS VIVOS";01042090 - OUTS.CAPRINOS REPRODUTORES DE RAÇA PURA;01/01/2016;;UN;UNIDADE;
01051110;"ANIMAIS VIVOS";01051110 - GALO E GALINHA REP.RAÇA PUR/ HIBRI.Ñ SUP.185G;01/01/2016;;UN;UNIDADE;
01051190;"ANIMAIS VIVOS";01051190 - OUTROS GALOS E GALINHAS NÃO SUPERIOR A 185G;01/01/2016;;UN;UNIDADE;
01051200;"ANIMAIS VIVOS";01051200 - PERUAS E PERUS, PESO NÃO SUPERIOR A 185G;01/01/2016;;UN;UNIDADE;
01051300;"ANIMAIS VIVOS";01051300 - PATOS DOMÉSTICOS, VIVOS DE PESO INFERIOR A 185G;01/01/2016;;UN;UNIDADE;
01051400;"ANIMAIS VIVOS";01051400 - GANSOS DOMÉSTICOS, VIVOS DE PESO INFERIOR A 185G;01/01/2016;;UN;UNIDADE;
01051500;"ANIMAIS VIVOS";01051500 - GALINHAS D'ANGOLA (PINTADAS) DOMEST.VIVAS D/PESO INF.A;01/01/2016;;UN;UNIDADE;
01059400;"ANIMAIS VIVOS";01059400 - GALOS E GALINHAS DE PESO Ñ SUPERIOR A 185G;01/01/2016;;UN;UNIDADE;
01059900;"ANIMAIS VIVOS";01059900 - OUTRAS AVES DAS ESP.DOMÉSTICAS,PESO >185G;01/01/2016;;UN;UNIDADE;
01061100;"ANIMAIS VIVOS";01061100 - MAMÍFEROS PRIMATAS VIVOS;01/01/2016;;UN;UNIDADE;
01061200;"ANIMAIS VIVOS";"01061200 - BALEIAS,GOLF.,BOTOS;PEIXES-BOIS,DUDONG;OTÁRIAS,FOCAS,ET";01/01/2016;;UN;UNIDADE;
01061300;"ANIMAIS VIVOS";01061300 - CAMELOS E OUTROS CAMELÍDIOS VIVOS;01/01/2016;;UN;UNIDADE;
01061400;"ANIMAIS VIVOS";01061400 - COELHOS E LEBRES VIVOS;01/01/2016;;UN;UNIDADE;
01061900;"ANIMAIS VIVOS";01061900 - OUTROS MAMÍFEROS VIVOS;01/01/2016;;UN;UNIDADE;
01062000;"ANIMAIS VIVOS";01062000 - RÉPTEIS,SERPENTES E TARTAR.MARINHAS,VIVOS;01/01/2016;;UN;UNIDADE;
01063100;"ANIMAIS VIVOS";01063100 - AVES DE RAPINA VIVAS;01/01/2016;;UN;UNIDADE;
01063200;"ANIMAIS VIVOS";01063200 - PSITACIFORMES(PAP.PER.ARARAS,CACATUAS)VIVO;01/01/2016;;UN;UNIDADE;
01063310;"ANIMAIS VIVOS";01063310 - AVESTRUZES (STRUTHIO CAMELUS) PARA REPRODUÇÃO;01/01/2016;;UN;UNIDADE;
01063390;"ANIMAIS VIVOS";01063390 - OUTROS AVESTRUZES VIVOS;01/01/2016;;UN;UNIDADE;
01063900;"ANIMAIS VIVOS";01063900 - OUTRAS AVES VIVAS;01/01/2016;;UN;UNIDADE;
01064100;"ANIMAIS VIVOS";01064100 - ABELHAS VIVAS;01/01/2016;;KG;QUILOGRAMA;Correção divulgada em 13/07/2017
01064900;"ANIMAIS VIVOS";01064900 - OUTROS INSETOS VIVOS;01/01/2016;;KG;QUILOGRAMA;Correção divulgada em 13/07/2017
01069000;"ANIMAIS VIVOS";01069000 - OUTROS ANIMAIS VIVOS;01/01/2016;;UN;UNIDADE;
02011000;CARNES E MIUDEZAS, COMESTÍVEIS;02011000 - CARCAÇAS E MEIAS-CARCS. DE BOV., FRESC.REFR.;01/01/2016;;KG;QUILOGRAMA;
02012010;CARNES E MIUDEZAS, COMESTÍVEIS;02012010 - QUARTOS DIANT. BOV. Ñ DESOSS. FRESC.OU REFR.;01/01/2016;;KG;QUILOGRAMA;
02012020;CARNES E MIUDEZAS, COMESTÍVEIS;02012020 - QUARTOS TRAZ.BOV.Ñ DESOSS.FRESC.OU REFRIG.;01/01/2016;;KG;QUILOGRAMA;
02012090;CARNES E MIUDEZAS, COMESTÍVEIS;02012090 - OUTS CARNES BOV.Ñ DESOSS.FRESC OU REFRIG.;01/01/2016;;KG;QUILOGRAMA;
02013000;CARNES E MIUDEZAS, COMESTÍVEIS;02013000 - OUTS CARNES BOV. DESOSS.FRESC OU REFRIG.;01/01/2016;;KG;QUILOGRAMA;
02021000;CARNES E MIUDEZAS, COMESTÍVEIS;02021000 - CARCAÇAS E MEIAS-CARCAÇAS DE BOVINOS,CONG.;01/01/2016;;KG;QUILOGRAMA;
02022010;CARNES E MIUDEZAS, COMESTÍVEIS;02022010 - QUART.DIANTEIRO DE BOVINO NÃO DESOSS., CONG.;01/01/2016;;KG;QUILOGRAMA;
02022020;CARNES E MIUDEZAS, COMESTÍVEIS;02022020 - QUART.TRASEIRO DE BOVINO NÃO DESOSS., CONG.;01/01/2016;;KG;QUILOGRAMA;
02022090;CARNES E MIUDEZAS, COMESTÍVEIS;02022090 - OUTRAS CARNES BOV. NÃO DESOSS.,CONGELADAS;01/01/2016;;KG;QUILOGRAMA;
02023000;CARNES E MIUDEZAS, COMESTÍVEIS;02023000 - CARNES DE BOVINO DESOSSADAS, CONGELADAS;01/01/2016;;KG;QUILOGRAMA;
02031100;CARNES E MIUDEZAS, COMESTÍVEIS;02031100 - CARCS E MEIAS-CARCS. DE SUÍNOS, FRESC., REFR.;01/01/2016;;KG;QUILOGRAMA;
02031200;CARNES E MIUDEZAS, COMESTÍVEIS;02031200 - PERNA E PEDAÇO Ñ DESOS. SUÍNOS, FRESC.,REFR.;01/01/2016;;KG;QUILOGRAMA;
02031900;CARNES E MIUDEZAS, COMESTÍVEIS;02031900 - OUTRAS CARNES DE SUÍNOS, FRESCAS OU REFRIG.;01/01/2016;;KG;QUILOGRAMA;
02032100;CARNES E MIUDEZAS, COMESTÍVEIS;02032100 - CARCS. E MEIAS-CARCS. DE SUÍNOS, CONGELADAS;01/01/2016;;KG;QUILOGRAMA;
02032200;CARNES E MIUDEZAS, COMESTÍVEIS;02032200 - PERNA E PEDAÇO Ñ DESOS. SUÍNOS, CONGELADOS;01/01/2016;;KG;QUILOGRAMA;
02032900;CARNES E MIUDEZAS, COMESTÍVEIS;02032900 - OUTRAS CARNES DE SUÍNO,CONGELADAS;01/01/2016;;KG;QUILOGRAMA;
02041000;CARNES E MIUDEZAS, COMESTÍVEIS;02041000 - CARCS.E MEIAS-CARCS D/CORDEIRO,FRESC.,REFR.;01/01/2016;;KG;QUILOGRAMA;
02042100;CARNES E MIUDEZAS, COMESTÍVEIS;02042100 - CARCS.E MEIAS-CARCS.DE OVINOS,FRESC.REFRIG.;01/01/2016;;KG;QUILOGRAMA;
02042200;CARNES E MIUDEZAS, COMESTÍVEIS;02042200 - OUTRAS PEÇAS Ñ DESOSS.D/OVINOS,FRESC.REFR.;01/01/2016;;KG;QUILOGRAMA;
02042300;CARNES E MIUDEZAS, COMESTÍVEIS;02042300 - PÇS DESOSSADAS D/OVINOS,FRESCAS OU REFRIG.;01/01/2016;;KG;QUILOGRAMA;
02043000;CARNES E MIUDEZAS, COMESTÍVEIS;02043000 - CARCS. E MEIAS-CARCS. DE CORDEIRO,CONG.;01/01/2016;;KG;QUILOGRAMA;
02044100;CARNES E MIUDEZAS, COMESTÍVEIS;02044100 - CARCS. E MEIAS-CARCS. OUTS.OVINOS,CONG.;01/01/2016;;KG;QUILOGRAMA;
02044200;CARNES E MIUDEZAS, COMESTÍVEIS;02044200 - OUTS.PÇS NÃO DESOSS.DE OVINOS,CONGELADAS;01/01/2016;;KG;QUILOGRAMA;
02044300;CARNES E MIUDEZAS, COMESTÍVEIS;02044300 - PEÇAS DESOSSADAS DE OVINOS,CONGELADAS;01/01/2016;;KG;QUILOGRAMA;
02045000;CARNES E MIUDEZAS, COMESTÍVEIS;02045000 - CARNES DE CAPRINOS,FRESC.,REFRIG.OU CONG.;01/01/2016;;KG;QUILOGRAMA;
02050000;CARNES E MIUDEZAS, COMESTÍVEIS;02050000 - CARNE CAVALO,ASININA,MUAR,FRESC.REF.,CONG.;01/01/2016;;KG;QUILOGRAMA;
02061000;CARNES E MIUDEZAS, COMESTÍVEIS;02061000 - MIUDEZAS DE BOVINOS,FRESCAS/REFRIGERADAS;01/01/2016;;KG;QUILOGRAMA;
02062100;CARNES E MIUDEZAS, COMESTÍVEIS;02062100 - LÍNGUAS DE BOVINOS CONGELADAS;01/01/2016;;KG;QUILOGRAMA;
