cd_UGestora,nu_Licitacao,tp_Licitacao,dt_Ano,dt_Homologacao,de_Obs,vl_Licitacao,nu_Propostas,dt_MesAno
101002,000012016,11,2016,2016-05-03 00:00:00,LOCACAO DE VEICULO,19200,1,052016
101002,000022016,8,2016,2016-05-02 00:00:00,SERVICO DE CONSULTORIA JURIDICA ADMINISTRATIVO PRESTADOS A MESA E AS COMISSOES DA CAMARA MUNICIPAL,20000,1,052016
101004,000012016,8,2016,2016-03-01 00:00:00,"CONTRATACAO DE EMPRESA PARA PRESTACAO DE SERVICOS TECNICOS ESPECIALIZADOS EM CONTABILIDADE PUBLICA, PARA ELABORACAO DE B",35000,1,062016
101004,000012016,11,2016,2016-05-16 00:00:00,"AQUISICAO PARCELADA DE COMBUSTIVEL, OLEOS E FILTROS",34464,1,062016
101004,000022016,11,2016,2016-05-16 00:00:00,AQUISICAO DE MATERIAL DE EXPEDIENTE PARA MANUTENCAO DAS ATIVIDADES DA CAMARA MUNICIPAL,18070.2,1,062016
101004,000032016,11,2016,2016-06-09 00:00:00,CONTRATACAO DE SERVICOS DE LOCACAO E MANUTENCAO DE SISTEMAS INFORMATIZADOS (SOFTWARES) PARA ATENDER AS NECESIDADES DA CA,14700,1,062016
101004,000042016,11,2016,2016-08-19 00:00:00,AQUISICAO DE EQUIPAMENTOS DIVERSOS PARA ATENDER AS NECESSIDADES DA CAMARA MUNICIPAL,31189,1,092016
101005,000012016,2,2016,2016-04-01 00:00:00,"AQUISICOES PARCELADAS DE GASOLINA O OLEO LUBRIFICANTE, QUE SE DESTINARAO AOS ABASTECIMENTOS DOS VEICULOS PERTENCENTES E/",15768,1,052016
101006,000012016,11,2016,2016-07-01 00:00:00,AQUISICAO DE COMBUSTIVEL,11968.82,1,112016
101006,000022016,11,2016,2016-07-01 00:00:00,LOCACAO DE UM VEICULO PARA PCAMARA MUNICIPAL.,16200,1,112016
101007,000012016,3,2016,2016-07-25 00:00:00,LOCACAO DE VEICULO PARA ATENDER AS NECESSIDADES DA CAMARA MUNICIPAL,13200,3,072016
101007,000012016,7,2016,2016-05-02 00:00:00,CONTRATACAO DE EMPRESA ESPECIALIZADA PARA ADMINISTRACAO DO SITE INSTITUCIONAL E PORTAL DA TRANSPARENCIA DESTA CAMARA,5200,1,072016
101007,000012016,11,2016,2016-07-20 00:00:00,AQUISICAO PARCELADA DE COMBUSTIVEL AUTOMOTIVO PARA ATENDER AS NECESSIDADES DA CAMARA MUNICIPAL,13125,1,072016
101007,000022014,3,2016,2014-10-03 00:00:00,"CONTRATACAO DE EMPRESA PARA LOCACAO DE SOFTWARES DOS SISTEMAS DE CONTABILIDADE PUBLICA, FOLHA DE PAGAMENTO, TOMBAMENTO E",3300,3,072016
101008,000012016,2,2016,2016-08-16 00:00:00,CONTRATACAO DE EMPRESA ESPECIALIZADA PARA PRESTACAO DE SERVICOS DE DIGITALIZACAO E GERENCIAMENTO ELETRONICO DOS DOCUMENT,12400,1,082016
101008,000052016,8,2016,2016-10-13 00:00:00,"PRESTACAO DE SERVICOS TECNICOS ESPECIALIZADOS DE ASSESSORIA E CONSULTORIA JURIDICA NO AMBITO ADMINISTRATIVO E JUDICIAL, ",12900,1,102016
101009,000032016,11,2016,2016-03-21 00:00:00,AQUISICAO DE COMBUSTIVEIS PARA OS VEICULOS LOCADOS DESTA CASA LEGISLATIVA,25200,1,062016
101011,000012015,2,2016,2015-10-01 00:00:00,"CONTRATACAO DE SERVICOS TECNICO ESPECIALIZADO NA ELABORACAO DE EMPENHOS, SUB  EMPENHOS, GUIAS DE DESPESAS E NA ELABORACA",21600,2,102016
101011,000012016,12,2016,2016-07-05 00:00:00,AQUISICAO DE GENEROS ALIMENTICIOS DESTINADOS A MANUTENCAO DAS ATIVIDADES DA CAMARA MUNICIPAL,9708.4,1,072016
101011,000022015,2,2016,2015-10-01 00:00:00,"AQUISICAO DE GENEROS ALIMENTICIOS, DESTINADOS A ATENDER AS NECESSIDADES DA CAMARA MUNICIPAL DE ARACAGI",18650.52,1,102016
101014,000012016,2,2016,2016-09-02 00:00:00,"LOCACAO E MANUTENCAO DE UM SISTEMA DE DIGITALIZACAO, PARA DIGITALIZACAO DE DOCUMENTOS DA CAMARA MUNICIPAL DE AREIA.",9200,1,112016
101014,000012016,8,2016,2016-05-06 00:00:00,CONTRATACAO DE SERVICOS TECNICOS ESPECIALIZADOS EM CONTABILIDADE PUBLICA COMPREENDENDO: CLASSIFICACAO E ESCRITURACAO DA ,36000,1,112016
101014,000022016,2,2016,2016-10-18 00:00:00,"AQUISICAO DE UM VEICULO TIPO PASSEIO, PARA ATENDER AS NECESSIDADES DA CAMARA MUNICIPAL DE AREIA.",38900,2,112016
101016,000012016,11,2016,2016-05-02 00:00:00,CONTRATACAO DE PESSOA FISICA OU JURIDICA COM ESPACO EM RADIOS COMERCIAIS PARA PRESTACAO DOS SERVICOS DE DIVULGACAO DE MA,16020,1,052016
101016,000022016,11,2016,2016-05-02 00:00:00,"CONTRATACAO DE EMPRESA(S) ESPECIALIZADA(S) PARA PRESTACAO DOS SERVICOS DE MANUTENCAO, ALIMENTACAO E ESTRUTURACAO MENSAL ",6800,1,052016
101018,000012016,3,2016,2016-05-02 00:00:00,LOCACAO DE VEICULO PARA A CAMARA MUNICIPAL,16000,3,122016
101018,000012016,8,2016,2016-02-11 00:00:00,SERVICOS TECNICOS CONTABEIS,30000,1,122016
101019,000012016,8,2016,2016-03-01 00:00:00,CONTRATACAO DE SERVICOS TECNICOS CONTABEIS (CONTADOR),25000,1,052016
101019,000022016,8,2016,2016-04-06 00:00:00,CONTRATACAO DE SERVICOS TECNICOS PROFISSIONAIS ESPECIALIZADOS COMO ADVOGADO (ASSESSORIA JURIDICA),13500,1,052016
101020,000012016,8,2016,2016-02-15 00:00:00,PRESTACAO DE SERVICOS CONTABEIS ESPECIALIZADOS NA ELABORACAO DOS DEMONSTRATIVOS E ANEXOS EXIGIDOS PELAS NORMAS DO TCE/PB,48100,1,022016
101020,000042016,11,2016,2016-07-01 00:00:00,AQUISICAO PARCELADA DE COMBUSTIVEL (GASOLINA COMUM).,30560,1,072016
101022,000022016,11,2016,2016-04-22 00:00:00,AQUISICAO DE COMBUSTIVEIS DE FORMA PARCELADA PARA ATENDER AS NECESSIDADES DOS VEICULOS DESTA CAMARA MUNICIPAL,28725,1,052016
101024,000032016,8,2016,2016-06-17 00:00:00,"CONTRATACAO DE EMPRESA ESPECIALIZADA NOS SERVICOS CONTABIL, FINANCEIRO, ELABORACAO DE RELATORIOS CONTABEIS, CONSULTORIA,",23200,1,062016
101026,000012016,7,2016,2016-09-28 00:00:00,"DISPENSA DE LICITACAO PARA CONTRATACAO DIRETA DA PESSOA JURIDICA: RODRIGO MARTINS CAMBOIM DA CAMARA, CNPJ N 22.438.529/0",7800,1,102016
101026,000012016,8,2016,2016-03-03 00:00:00,"CONTRATACAO DIRETA DA PESSOA JURIDICA CANTIDIANO DE ANDRADE SOCIEDADE DE ADVOGADOS, CNPJ: 23.934.483/0001-05, ENDERECO C",24000,1,102016
101026,000012016,11,2016,2016-04-20 00:00:00,"CONTRATACAO DE UMA PESSOA JURIDICA PARA PRESTAR O FORNECIMENTO PARCELADO DE 6.000 (SEIS MIL LITROS) DE GASOLINA COMUM, P",22560,1,102016
101029,000022016,2,2016,2016-05-16 00:00:00,"CONTRATACAO DE EMPRESA PARA PRESTACAO DE DOCUMENTOS DE APOIO ADMINISTRATIVO NA ELABORACAO DE GFIP, RAIS, DIRF, ENTRE OUT",7700,1,082016
101032,000032016,8,2016,2016-09-08 00:00:00,CONTRATACAO DOS SERVICOS DE ASSESSORIA E CONSULTORIA JURIDICA PARA ESTA CAMARA MUNICIPAL,12800,1,092016
101033,000032016,2,2016,2016-12-05 00:00:00,"CONTRATACAO DE EMPRESA PARA FORNECIMENTO E INSTALACOES DE EQUIPAMENTOS SUPLEMENTARES DE SOM, DESTINADOS AO PLENARIO DA  ",17000,1,122016
